Año,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio
2023,Cárdenas,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo en transporte individual,Con violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo en transporte individual,Sin violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo a institución bancaria,Con violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo a negocio,Con violencia,1,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo a negocio,Sin violencia,5,6,5,3,2,5
2023,Cárdenas,El patrimonio,Robo,Robo de ganado,Con violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo de ganado,Sin violencia,1,1,2,1,2,0
2023,Cárdenas,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Con violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Sin violencia,0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia",0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0,0,0,0,0,0
2023,Cárdenas,El patrimonio,Robo,Otros robos,Con violencia,7,4,0,3,3,1
